SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,1,1,4,23,458,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,2,18,300,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,2,5,9,230,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,4,1,6,52,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,4,15,409,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,4,3,14,219,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,3,12,46,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,2,2,17,327,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,0,3,57,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,3,23,293,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,3,5,16,212,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,4,17,221,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,1,4,12,393,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,2,3,13,426,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,3,0,16,443,0,0,0,1,0,0,0,0,1,1,0,0,1
1,1,4,4,2,492,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,3,16,458,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,4,2,10,359,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,2,7,55,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,1,4,19,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,4,1,9,335,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,3,3,20,142,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,3,2,12,206,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,6,4,300,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,3,5,8,383,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,1,8,198,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,11,438,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,4,5,11,107,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,1,2,0,438,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,3,3,16,261,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,4,0,9,226,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,5,20,6,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,1,5,22,11,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,1,2,1,369,0,1,0,0,0,1,0,0,0,0,0,0,0
2,1,4,3,18,164,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,4,3,15,369,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,3,14,128,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,2,12,388,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,5,10,311,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,1,17,78,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,3,0,10,483,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,4,2,14,48,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,4,6,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,3,5,1,212,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,1,5,2,359,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,4,1,9,123,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,4,5,16,37,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,2,4,19,434,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,2,4,13,94,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,7,137,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,5,4,14,267,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,6,12,146,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,11,333,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,17,194,0,1,0,0,0,1,0,0,0,0,0,1,0
2,1,1,5,15,427,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,2,0,17,153,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,1,3,7,111,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,4,2,14,52,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,4,3,9,473,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,3,8,243,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,4,5,9,459,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,2,5,0,374,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,4,18,37,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,4,10,46,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,1,8,411,0,0,0,1,0,0,0,0,0,0,0,1,1
1,1,4,6,2,111,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,3,6,5,405,0,1,0,0,0,1,0,0,0,0,0,0,0
2,1,2,6,13,338,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,2,4,18,300,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,2,4,3,483,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,2,5,12,307,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,10,24,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2,0,12,170,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,2,0,9,150,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,1,17,300,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,1,5,275,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,3,8,137,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,4,3,1,177,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,2,0,8,37,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,1,7,105,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,1,3,14,250,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,4,1,8,256,0,0,0,0,0,0,0,0,0,0,0,1,1
2,1,2,1,17,177,0,0,0,0,0,1,0,0,0,0,0,1,0
2,1,2,3,9,281,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,1,5,16,261,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,3,2,15,80,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,5,4,13,14,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,6,19,485,0,1,0,0,0,1,0,0,0,0,0,1,0
2,1,2,3,12,361,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,19,235,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,3,1,9,212,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,2,1,7,192,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,2,0,9,110,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,5,11,404,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,5,4,120,0,1,0,0,0,1,0,0,0,0,0,1,0
2,1,4,2,15,258,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,4,18,451,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,5,13,499,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,23,452,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,0,7,359,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,3,3,15,439,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,3,5,18,489,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,5,3,8,123,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,3,13,477,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,3,11,294,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,4,10,142,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,5,17,250,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2,5,18,405,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,1,14,121,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,4,3,5,411,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,2,17,164,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,4,17,224,0,1,0,0,0,1,0,0,0,0,0,0,0
1,1,4,2,7,340,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,4,0,20,293,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,4,20,87,0,1,0,0,0,1,0,0,0,0,0,1,1
2,1,4,1,7,273,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,5,19,153,0,1,0,0,0,1,0,0,0,0,0,1,1
2,1,4,2,10,300,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,5,22,62,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,4,12,405,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,5,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,16,351,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,4,2,23,52,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,3,5,23,490,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,6,21,159,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,4,5,18,128,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,4,2,8,110,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,1,12,153,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,1,4,18,253,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,3,5,23,293,0,1,0,0,0,1,0,0,0,0,0,0,1
1,1,3,4,5,118,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,5,20,10,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,4,0,13,284,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,6,14,439,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,3,4,19,452,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,2,1,16,44,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,6,20,67,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,6,17,158,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,4,6,20,351,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,1,3,15,330,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,15,144,0,0,1,0,0,0,0,0,1,0,0,1,0
2,1,2,5,14,132,0,1,0,0,0,0,0,0,0,0,0,1,0
