SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,7,27,4,20,94,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,27,4,13,460,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,2,11,150,0,1,0,0,0,0,0,0,0,0,0,0,1
1,5,20,1,9,456,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,26,6,21,25,0,0,0,0,0,1,0,0,0,0,0,0,1
2,4,16,0,19,224,0,1,0,0,0,0,0,1,0,0,0,0,0
1,7,27,2,19,226,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,18,2,8,441,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,18,0,17,156,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,27,6,0,358,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,27,3,22,388,0,1,0,0,0,1,0,0,0,0,1,0,0
2,7,27,5,21,169,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,19,4,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,27,1,7,388,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,17,0,15,260,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,4,0,8,48,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,14,0,11,325,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,31,6,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0
2,7,31,0,9,349,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,11,4,23,325,1,0,0,0,0,1,0,0,0,0,1,0,0
1,10,42,1,12,486,0,1,0,0,0,0,0,0,0,0,0,1,1
1,9,38,3,9,490,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,30,6,18,427,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,26,0,11,63,0,0,1,0,0,0,0,0,0,0,0,1,0
2,7,28,3,15,288,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,35,1,17,295,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,22,2,13,110,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,26,3,12,46,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,19,4,16,292,0,1,0,0,0,0,0,0,0,0,0,0,1
2,10,42,4,10,80,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,25,0,6,487,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,18,5,22,212,0,0,0,0,0,1,0,0,0,0,0,0,0
