SEVERITYCODE,X,Y,WEATHER,LIGHTCOND,ROADCOND,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,ADDRTYPE,cluster_id
1,-122.2699891,47.53210531,Clear,Daylight,Dry,2020,4,16,1,11,Block,224
1,-122.3192088,47.70856922,Raining,Dark - Unknown Lighting,Wet,2020,1,1,3,18,Block,404
1,-122.4120188,47.57684322,Overcast,Daylight,Dry,2019,7,27,5,14,Block,144
2,-122.3342556,47.52935807,Clear,Daylight,Dry,2019,4,17,2,8,Block,121
1,-122.3756475,47.67780732,Clear,Daylight,Dry,2019,7,27,3,18,Block,417
1,-122.2962223,47.57985835,Clear,Daylight,Wet,2020,4,16,4,19,Block,427
2,-122.2946969,47.72018507,Clear,Daylight,Dry,2019,4,17,4,16,Block,11
2,-122.3652334,47.5392503,Clear,Dark - Street Lights On,Dry,2020,4,16,3,21,Block,373
2,-122.3077921,47.68304671,Clear,Daylight,Dry,2019,4,17,1,16,Intersection,198
1,-122.3800919,47.56287257,Clear,Daylight,Dry,2019,6,26,5,13,Intersection,94
2,-122.3236412,47.6060184,Clear,Daylight,Dry,2019,5,19,3,9,Intersection,466
1,-122.30111809999998,47.62667906,Clear,Daylight,Dry,2019,4,17,3,13,Intersection,332
2,-122.3313137,47.70864592,Clear,Daylight,Dry,2020,4,17,0,8,Intersection,87
1,-122.386804,47.56021698,Clear,Daylight,Dry,2019,7,27,4,13,Block,303
2,-122.32601409999998,47.71087943,Overcast,Daylight,Dry,2019,7,27,6,17,Block,139
1,-122.2759887,47.54602662,Clear,Daylight,Dry,2020,4,16,4,11,Intersection,44
1,-122.3055394,47.58807595,Clear,Dark - Street Lights On,Dry,2019,4,17,5,3,Block,428
2,-122.30461409999998,47.64639608,Clear,Daylight,Dry,2019,4,18,0,17,Intersection,6
2,-122.2696111,47.51684873,Raining,Daylight,Wet,2019,4,16,4,18,Intersection,127
1,-122.3342135,47.607515,Clear,Daylight,Dry,2020,4,16,4,15,Intersection,52
1,-122.2741064,47.66750031,Clear,Dawn,Dry,2020,4,18,0,5,Block,13
1,-122.314703,47.58242809,Clear,Daylight,Dry,2019,6,26,2,14,Block,147
