SEVERITYCODE,X,Y,WEATHER,LIGHTCOND,ROADCOND,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,ADDRTYPE,cluster_id
2,-122.3007582,47.68304743,Clear,Daylight,Dry,2017,5,19,1,13,Intersection,143
1,-122.3550936,47.5237881,Unknown,Unknown,Unknown,2017,2,5,2,0,Block,25
1,-122.3378293,47.55497594,Overcast,Daylight,Dry,2017,2,8,4,8,Block,48
1,-122.3460864,47.64009495,Overcast,Daylight,Dry,2017,4,17,1,10,Block,479
1,-122.3486206,47.57162818,Clear,Daylight,Dry,2017,5,21,0,7,Block,137
1,-122.3134444,47.56899527,Clear,Dark - Street Lights On,Dry,2017,6,22,6,3,Intersection,57
1,-122.3104537,47.57738996,Clear,Daylight,Dry,2017,5,20,1,11,Block,246
2,-122.284818,47.66799004,Clear,Daylight,Dry,2017,6,23,0,13,Block,469
2,-122.3119219,47.6747681,Clear,Daylight,Dry,2017,4,17,1,15,Intersection,329
1,-122.3435132,47.63144297,Overcast,Dark - Street Lights On,Wet,2017,4,17,5,23,Block,465
2,-122.3673912,47.66865732,Clear,Daylight,Wet,2017,4,16,1,10,Block,58
1,-122.3581201,47.65486305,Clear,Daylight,Wet,2017,3,11,5,13,Block,90
2,-122.366178,47.66865339,Clear,Daylight,Dry,2017,5,18,2,16,Intersection,58
1,-122.3037472,47.55972549,Raining,Dark - Street Lights On,Wet,2017,5,18,4,0,Block,333
1,-122.3539921,47.61779444,Overcast,Daylight,Wet,2017,3,11,1,16,Block,32
2,-122.3421307,47.66175394,Clear,Daylight,Dry,2017,4,16,3,17,Block,1
1,-122.3181057,47.71854217,Snowing,Daylight,Snow/Slush,2017,2,9,0,7,Block,261
1,-122.3558295,47.51810154,Clear,Daylight,Dry,2017,5,20,5,19,Block,276
1,-122.326727,47.61886143,Clear,Daylight,Dry,2017,6,25,6,11,Block,217
1,-122.3175964,47.69446582,Raining,Daylight,Wet,2017,3,9,4,17,Block,442
2,-122.3699115,47.52466989,Clear,Daylight,Dry,2017,5,21,0,16,Intersection,112
2,-122.338197,47.606835,Clear,Dark - Street Lights On,Dry,2017,6,22,5,0,Intersection,490
1,-122.3240393,47.62470402,Overcast,Daylight,Dry,2017,4,17,6,15,Block,166
1,-122.3435132,47.63144297,Clear,Daylight,Dry,2017,4,17,0,17,Block,465
1,-122.3290568,47.58719993,Raining,Daylight,Wet,2017,3,13,2,10,Block,454
2,-122.3229857,47.52225744,Clear,Dark - Street Lights On,Dry,2017,5,21,3,22,Intersection,39
1,-122.318582,47.68312429,Raining,Dark - Street Lights On,Wet,2017,3,11,4,21,Intersection,169
1,-122.3529261,47.71959427,Clear,Daylight,Dry,2017,6,25,3,18,Intersection,493
1,-122.3448961,47.7171731,Overcast,Daylight,Wet,2017,4,17,2,17,Block,164
1,-122.3178391,47.70765078,Clear,Daylight,Dry,2017,5,18,1,15,Intersection,404
2,-122.386106,47.56927974,Clear,Daylight,Dry,2017,5,19,6,18,Block,418
2,-122.3088816,47.54750089,Clear,Daylight,Dry,2017,5,19,5,14,Intersection,320
1,-122.2559054,47.50820034,Raining,Daylight,Wet,2017,4,16,5,19,Intersection,321
1,-122.3651235,47.6241458,Clear,Daylight,Dry,2017,5,21,1,7,Block,175
2,-122.3237538,47.59834984,Clear,Daylight,Dry,2017,6,25,5,16,Intersection,288
2,-122.28874779999998,47.56614569,Clear,Daylight,Dry,2017,6,22,3,9,Intersection,29
1,-122.3064626,47.64209841,Clear,Daylight,Dry,2017,4,17,2,9,Block,290
1,-122.30277,47.60800896,Raining,Daylight,Wet,2017,5,19,3,16,Intersection,156
1,-122.3326402,47.60916022,Clear,Daylight,Dry,2017,4,17,6,11,Intersection,52
1,-122.3239335,47.60885599,Raining,Daylight,Dry,2017,4,15,2,11,Block,466
1,-122.384293,47.67860862,Raining,Dark - Street Lights On,Wet,2017,3,9,5,21,Block,12
2,-122.3126747,47.7203183,Snowing,Daylight,Wet,2017,3,10,1,8,Block,475
2,-122.3342759,47.7341365,Overcast,Daylight,Dry,2017,4,15,3,13,Intersection,151
1,-122.3027757,47.60652169,Overcast,Dusk,Dry,2017,5,18,5,20,Block,156
2,-122.3058274,47.5884106,Clear,Dark - Street Lights On,Wet,2017,2,8,6,18,Intersection,428
1,-122.3547512,47.62457689,Clear,Daylight,Dry,2017,5,18,3,13,Block,270
1,-122.30223490000002,47.59980258,Clear,Daylight,Dry,2017,4,16,3,8,Block,258
1,-122.2966816,47.57614674,Clear,Daylight,Dry,2017,5,21,1,19,Block,294
1,-122.3408978,47.61061931,Clear,Dark - Street Lights On,Dry,2017,2,8,4,20,Block,8
1,-122.3473373,47.66075886,Clear,Daylight,Dry,2017,4,15,5,13,Intersection,279
1,-122.3412321,47.62454498,Raining,Daylight,Wet,2017,3,10,0,8,Intersection,43
1,-122.3448961,47.7171731,Raining,Daylight,Wet,2017,4,16,5,10,Block,164
1,-122.2695781,47.52922384,Overcast,Dark - Street Lights On,Dry,2017,4,17,2,2,Block,224
1,-122.3558154,47.51919605,Raining,Daylight,Wet,2017,4,16,6,11,Block,276
1,-122.370626,47.5713678,Raining,Dark - Street Lights On,Wet,2017,5,20,0,22,Intersection,138
1,-122.3207624,47.61296336,Clear,Daylight,Dry,2017,6,25,6,20,Intersection,95
1,-122.3404521,47.61096395,Overcast,Daylight,Dry,2017,4,15,1,11,Intersection,8
1,-122.3178106,47.65720176,Clear,Daylight,Dry,2017,6,22,5,12,Block,70
1,-122.3865192,47.59292056,Clear,Daylight,Dry,2017,5,21,0,19,Block,298
1,-122.2699126,47.55113950000001,Clear,Dark - Street Lights On,Dry,2017,5,21,4,21,Intersection,319
2,-122.3609499,47.72326365,Clear,Daylight,Dry,2017,5,18,6,12,Intersection,199
1,-122.3507906,47.70470995,Clear,Daylight,Dry,2017,4,17,5,9,Block,194
2,-122.36872340000002,47.69834938,Overcast,Daylight,Dry,2017,5,19,4,13,Intersection,193
1,-122.3649368,47.64050254,Clear,Daylight,Dry,2017,4,16,3,12,Block,117
2,-122.3444863,47.68366976,Overcast,Daylight,Wet,2017,6,23,3,11,Block,42
1,-122.3696925,47.66146818,Clear,Dark - Street Lights On,Dry,2017,5,20,5,3,Block,163
2,-122.3213134,47.60599116,Raining,Dark - Street Lights Off,Wet,2017,5,18,5,2,Block,24
2,-122.3443534,47.61327122,Clear,Dark - Street Lights On,Dry,2017,5,20,4,23,Intersection,307
1,-122.3023737,47.68304725,Clear,Daylight,Dry,2017,5,18,2,15,Block,143
1,-122.3486185,47.6407414,Raining,Daylight,Wet,2017,5,19,4,11,Intersection,20
1,-122.3296785,47.59919793,Clear,Daylight,Wet,2017,5,19,3,12,Intersection,142
1,-122.3120793,47.68304587,Clear,Daylight,Dry,2017,6,23,4,14,Intersection,198
1,-122.33755159999998,47.58937381,Clear,Daylight,Dry,2017,6,25,3,19,Block,123
2,-122.3446898,47.70468772,Clear,Daylight,Dry,2017,5,20,6,13,Block,7
2,-122.2884235,47.56496219,Clear,Daylight,Dry,2017,5,20,5,10,Block,29
1,-122.3194347,47.61294002,Clear,Dark - Street Lights On,Dry,2017,4,17,6,2,Intersection,95
1,-122.2894188,47.55595605,Clear,Daylight,Dry,2017,6,23,1,19,Block,203
1,-122.3453665,47.70505326,Raining,Daylight,Wet,2017,3,12,4,8,Block,7
1,-122.2859666,47.56074451,Raining,Daylight,Wet,2017,3,12,6,8,Block,325
2,-122.3025936,47.58837465,Raining,Dark - Street Lights On,Wet,2017,5,18,5,2,Intersection,428
1,-122.3226928,47.56618962,Overcast,Daylight,Dry,2017,5,20,2,11,Intersection,141
1,-122.3257102,47.65433193,Clear,Daylight,Dry,2017,6,25,2,15,Block,473
1,-122.2899146,47.56179245,Overcast,Daylight,Dry,2017,5,19,5,16,Block,396
2,-122.2765772,47.52425408,Clear,Daylight,Dry,2017,6,22,3,14,Intersection,426
1,-122.370618,47.54640766,Overcast,Dusk,Wet,2017,4,16,6,19,Block,482
1,-122.3082797,47.54717122,Clear,Daylight,Dry,2017,5,19,2,11,Block,320
1,-122.3257231,47.59583631,Clear,Daylight,Dry,2017,5,21,4,16,Block,46
1,-122.3448961,47.7171731,Clear,Daylight,Dry,2017,5,21,0,18,Block,164
1,-122.3207804,47.61407567,Clear,Dark - Street Lights On,Dry,2017,5,20,5,2,Intersection,95
1,-122.3132072,47.65831485,Overcast,Dark - Street Lights On,Dry,2017,5,19,3,21,Intersection,358
1,-122.3026016,47.58764463,Sleet/Hail/Freezing Rain,Daylight,Snow/Slush,2017,2,9,0,16,Block,428
1,-122.33568390000002,47.60492719,Raining,Dusk,Wet,2017,2,9,0,17,Block,388
1,-122.3444887,47.63758771,Clear,Daylight,Dry,2017,5,20,4,15,Block,161
1,-122.3246626,47.64087698,Raining,Daylight,Wet,2017,3,11,2,9,Block,36
2,-122.37621090000002,47.67381803,Clear,Daylight,Dry,2017,5,18,6,6,Intersection,186
2,-122.3058274,47.5884106,Clear,Dark - Street Lights On,Dry,2017,5,18,5,21,Intersection,428
1,-122.37095359999998,47.55103397,Clear,Daylight,Dry,2017,5,21,1,12,Block,82
1,-122.3449468,47.72048199,Clear,Daylight,Dry,2017,6,23,5,15,Block,439
1,-122.3395594,47.60832456,Clear,Daylight,Dry,2017,5,18,3,13,Block,490
1,-122.3342549,47.61851729,Clear,Daylight,Dry,2017,6,25,2,20,Intersection,438
1,-122.3230398,47.62427245,Clear,Daylight,Dry,2017,5,20,6,11,Intersection,166
2,-122.33910559999998,47.68692612,Raining,Daylight,Wet,2017,5,22,1,17,Intersection,274
1,-122.2837022,47.54245258,Clear,Daylight,Dry,2017,6,22,4,17,Intersection,192
1,-122.3024337,47.62439174,Sleet/Hail/Freezing Rain,Dark - Street Lights On,Snow/Slush,2017,2,9,0,17,Intersection,332
1,-122.3516205,47.72049941,Unknown,Unknown,Unknown,2017,3,10,2,19,Block,493
1,-122.3533545,47.53390202,Raining,Daylight,Wet,2017,4,16,6,16,Block,130
2,-122.32142079999998,47.60694734,Clear,Daylight,Dry,2017,5,18,1,11,Intersection,24
1,-122.3149392,47.52474202,Clear,Daylight,Dry,2017,4,14,4,7,Intersection,327
1,-122.299554,47.66799512,Raining,Daylight,Wet,2017,4,14,2,14,Intersection,338
1,-122.3221488,47.61639417,Raining,Daylight,Wet,2017,3,12,4,15,Intersection,369
1,-122.3404863,47.61626113,Raining,Daylight,Wet,2017,4,17,2,12,Block,451
1,-122.2753861,47.54424772,Clear,Daylight,Dry,2017,5,18,3,14,Intersection,44
2,-122.3927264,47.52916317,Raining,Daylight,Wet,2017,4,16,2,13,Block,357
1,-122.3346951,47.53989316,Raining,Daylight,Wet,2017,2,8,6,13,Block,456
1,-122.2943965,47.57343082,Raining,Dark - Street Lights On,Wet,2017,6,23,3,2,Block,294
1,-122.3965322,47.54328482,Clear,Daylight,Dry,2017,5,21,5,20,Block,107
1,-122.3580593,47.61902281,Clear,Daylight,Dry,2017,5,21,4,14,Intersection,32
2,-122.3394165,47.55847119,Clear,Daylight,Dry,2017,5,21,3,9,Block,359
1,-122.3827193,47.58347554,Unknown,Unknown,Unknown,2017,2,8,2,6,Intersection,411
1,-122.36045049999998,47.53007875,Clear,Daylight,Dry,2017,6,23,2,15,Block,230
1,-122.3436236,47.61752806,Clear,Daylight,Dry,2017,5,18,4,7,Intersection,253
2,-122.3128357,47.71398062,Clear,Daylight,Dry,2017,4,17,3,8,Intersection,145
1,-122.3006007,47.5463793,Clear,Daylight,Dry,2017,5,21,3,19,Intersection,408
1,-122.3055623,47.58295569,Clear,Daylight,Dry,2017,5,21,5,12,Intersection,280
1,-122.3720883,47.62943789,Raining,Daylight,Wet,2017,3,10,1,16,Block,51
1,-122.33623020000002,47.68542321,Clear,Daylight,Dry,2017,4,14,5,9,Intersection,105
1,-122.3341983,47.58504268,Clear,Daylight,Dry,2017,5,18,6,11,Block,275
1,-122.3259549,47.70861145,Clear,Daylight,Dry,2017,5,20,4,14,Intersection,139
1,-122.3175366,47.57347704,Clear,Daylight,Dry,2017,3,11,3,12,Block,57
1,-122.4099896,47.57931722,Clear,Daylight,Dry,2017,5,21,6,19,Block,144
1,-122.3369375,47.61216762,Overcast,Daylight,Dry,2017,3,12,0,13,Block,128
1,-122.3134764,47.5662835,Raining,Daylight,Wet,2017,2,9,0,9,Block,125
1,-122.3841628,47.56019056,Clear,Dusk,Dry,2017,5,19,6,19,Block,303
1,-122.3120793,47.68304587,Clear,Daylight,Dry,2017,6,23,0,8,Intersection,198
2,-122.3108886,47.60803405,Overcast,Dark - Street Lights On,Wet,2017,4,17,1,21,Block,181
1,-122.3901449,47.66866841,Clear,Daylight,Dry,2017,4,16,4,18,Intersection,218
1,-122.2700762,47.50916301,Clear,Daylight,Dry,2017,5,20,5,17,Block,443
1,-122.3291031,47.57167787,Overcast,Dawn,Wet,2017,5,18,0,6,Intersection,216
2,-122.3453166,47.67995114,Clear,Dusk,Dry,2017,4,17,0,17,Block,491
1,-122.3567146,47.62392852,Clear,Daylight,Dry,2017,4,16,1,12,Block,270
1,-122.3153459,47.68153242,Raining,Daylight,Wet,2017,4,15,0,12,Intersection,169
1,-122.3762149,47.65399336,Overcast,Daylight,Dry,2017,5,18,1,17,Intersection,292
1,-122.32586,47.72313928,Overcast,Daylight,Wet,2017,3,9,4,6,Block,30
1,-122.3709082,47.54568797,Unknown,Daylight,Unknown,2017,5,19,3,15,Block,482
1,-122.3396352,47.54022003,Clear,Daylight,Dry,2017,6,25,2,20,Block,282
1,-122.3084412,47.59519407,Clear,Daylight,Dry,2017,3,9,2,15,Block,445
1,-122.3213545,47.55357199,Clear,Daylight,Dry,2017,4,17,2,9,Block,379
1,-122.35181409999998,47.65414176,Overcast,Daylight,Dry,2017,3,13,2,14,Block,394
1,-122.28613529999998,47.60255735,Clear,Daylight,Dry,2017,5,19,6,14,Block,34
1,-122.3000096,47.66034958,Clear,Daylight,Dry,2017,4,17,4,17,Intersection,421
1,-122.31678,47.60922659,Clear,Daylight,Dry,2017,6,23,0,10,Intersection,452
1,-122.2958126,47.56486101,Clear,Daylight,Dry,2017,4,17,1,18,Block,183
1,-122.33979,47.51790542,Raining,Daylight,Wet,2017,4,14,2,12,Block,457
1,-122.2920726,47.54615027,Overcast,Daylight,Wet,2017,4,16,2,8,Block,409
1,-122.3238897,47.62776363,Unknown,Daylight,Dry,2017,4,15,0,12,Block,250
1,-122.2970769,47.57694363,Clear,Daylight,Dry,2017,4,17,3,7,Block,427
1,-122.2968942,47.56628402,Clear,Daylight,Dry,2017,4,15,1,13,Intersection,485
1,-122.3397558,47.62262872,Clear,Daylight,Dry,2017,5,20,3,12,Block,111
1,-122.2667643,47.51984487,Clear,Daylight,Dry,2017,6,22,4,13,Block,450
2,-122.376338,47.55014223,Clear,Daylight,Dry,2017,4,16,3,8,Intersection,82
1,-122.2635447,47.67572243,Raining,Daylight,Oil,2017,6,23,3,9,Intersection,76
1,-122.3707665,47.56842538,Clear,Daylight,Dry,2017,5,20,1,11,Block,463
1,-122.3472071,47.69057079,Overcast,Daylight,Wet,2017,5,18,2,7,Intersection,441
2,-122.3500339,47.66213558,Overcast,Daylight,Dry,2017,4,17,1,18,Intersection,420
1,-122.3196085,47.61164921,Clear,Daylight,Dry,2017,4,17,6,13,Block,95
1,-122.3353731,47.61213646,Clear,Daylight,Dry,2017,6,22,6,7,Intersection,128
1,-122.4036179,47.64681661,Raining,Dark - No Street Lights,Wet,2017,2,9,0,18,Intersection,478
1,-122.3726072,47.57900158,Clear,Daylight,Dry,2017,5,22,0,19,Block,17
2,-122.3167562,47.61222459,Clear,Daylight,Dry,2017,5,20,6,15,Block,293
2,-122.329744,47.60346437,Clear,Daylight,Dry,2017,4,17,0,16,Block,142
2,-122.3523122,47.56321714,Clear,Daylight,Dry,2017,6,25,2,7,Block,310
1,-122.3341972,47.58716755,Clear,Daylight,Dry,2017,4,14,3,11,Block,123
1,-122.3137615,47.59880044,Clear,Dark - Street Lights On,Dry,2017,3,10,5,23,Intersection,174
1,-122.31147649999998,47.61222607,Raining,Daylight,Wet,2017,5,20,1,18,Block,181
1,-122.3426269,47.65161865,Clear,Dusk,Dry,2017,6,23,3,21,Block,243
1,-122.4008979,47.65495987,Clear,Daylight,Dry,2017,6,22,5,10,Block,162
2,-122.3671588,47.66146522,Clear,Dark - Street Lights On,Dry,2017,3,9,5,18,Intersection,163
1,-122.2859975,47.61339335,Clear,Dark - Street Lights Off,Dry,2017,4,14,0,21,Block,92
1,-122.3150154,47.53537395,Clear,Daylight,Dry,2017,6,23,1,16,Block,414
1,-122.3934711,47.56664302,Clear,Dark - No Street Lights,Dry,2017,5,20,5,22,Intersection,220
1,-122.3646211,47.57167629,Clear,Daylight,Dry,2017,4,17,4,15,Block,391
2,-122.3579089,47.63044434,Clear,Daylight,Dry,2017,2,9,1,14,Intersection,60
2,-122.317819,47.6568893,Raining,Daylight,Wet,2017,4,16,6,11,Intersection,70
1,-122.321392,47.58730868,Clear,Daylight,Dry,2017,4,17,3,8,Block,268
1,-122.3371968,47.69050670000001,Raining,Daylight,Wet,2017,4,16,2,12,Block,274
2,-122.3391953,47.61725907,Clear,Daylight,Dry,2017,4,17,2,9,Intersection,451
1,-122.3371968,47.69050670000001,Clear,Daylight,Dry,2017,5,21,0,7,Block,274
1,-122.32807859999998,47.60416123,Clear,Dark - Street Lights On,Dry,2017,6,25,3,1,Intersection,142
2,-122.346736,47.52464351,Clear,Daylight,Dry,2017,4,15,1,11,Intersection,225
2,-122.3504655,47.61336696,Clear,Daylight,Dry,2017,6,25,6,17,Intersection,201
1,-122.3619128,47.62673541,Raining,Daylight,Wet,2017,3,12,4,17,Block,175
1,-122.3127157,47.6202339,Overcast,Daylight,Dry,2017,4,17,3,18,Block,387
1,-122.32634,47.68738662,Raining,Daylight,Wet,2017,4,14,2,10,Block,488
1,-122.3290568,47.58719993,Raining,Daylight,Wet,2017,5,18,4,8,Block,454
2,-122.3006638,47.67940903,Clear,Daylight,Dry,2017,5,21,0,9,Intersection,474
1,-122.3341108,47.60991762,Clear,Daylight,Dry,2017,4,17,6,17,Block,52
1,-122.3540261,47.61664271,Clear,Daylight,Dry,2017,6,22,4,15,Block,201
2,-122.3252159,47.63486592,Clear,Daylight,Dry,2017,5,19,0,13,Intersection,412
1,-122.3178232,47.60169516,Clear,Dark - Street Lights On,Wet,2017,3,12,4,2,Intersection,226
1,-122.3202933,47.59582679,Clear,Dark - Street Lights Off,Dry,2017,5,18,2,22,Block,288
1,-122.2639339,47.51997549,Clear,Daylight,Dry,2017,5,18,2,18,Block,450
1,-122.3351733,47.66174886,Overcast,Daylight,Wet,2017,5,20,0,13,Block,132
1,-122.3363382,47.64919566,Clear,Daylight,Dry,2017,4,15,4,16,Intersection,188
1,-122.3554434,47.61976813,Clear,Dark - Street Lights On,Wet,2017,4,17,5,21,Intersection,32
1,-122.2789885,47.55309183,Raining,Daylight,Wet,2017,3,11,4,16,Block,393
1,-122.3275249,47.70862158,Clear,Daylight,Dry,2017,5,21,4,12,Block,139
1,-122.3758331,47.63246257,Clear,Dark - Street Lights On,Dry,2017,4,16,4,21,Block,51
1,-122.3337568,47.60869260000001,Overcast,Dawn,Dry,2017,5,20,0,6,Intersection,52
1,-122.388785,47.69057468,Raining,Daylight,Wet,2017,4,16,6,13,Intersection,178
1,-122.32080790000002,47.61581795,Clear,Daylight,Dry,2017,5,19,2,13,Block,369
2,-122.3301302,47.61717154,Raining,Daylight,Wet,2017,3,10,1,15,Block,62
1,-122.3419945,47.57143073,Raining,Daylight,Wet,2017,3,11,2,10,Block,345
1,-122.2937354,47.60164977,Clear,Daylight,Wet,2017,4,14,3,8,Intersection,453
2,-122.3832489,47.64475974,Overcast,Daylight,Dry,2017,5,19,6,10,Intersection,104
2,-122.4002642,47.58420134,Clear,Dark - Street Lights On,Dry,2017,5,18,6,19,Block,481
1,-122.2699896,47.53096562,Clear,Daylight,Dry,2017,5,22,0,14,Block,224
1,-122.3178106,47.65720176,Clear,Daylight,Dry,2017,5,21,0,11,Block,70
1,-122.3788892,47.66505286,Overcast,Daylight,Wet,2017,3,9,3,8,Intersection,83
1,-122.351619,47.7195907,Clear,Daylight,Dry,2017,3,9,3,8,Intersection,493
1,-122.3735939,47.66366175,Clear,Daylight,Dry,2017,4,16,3,16,Intersection,295
1,-122.3293861,47.60558932,Overcast,Daylight,Dry,2017,5,20,3,9,Intersection,486
1,-122.3342171,47.55110537,Clear,Daylight,Dry,2017,2,9,1,13,Intersection,48
1,-122.26277240000002,47.49778198,Clear,Unknown,Dry,2017,6,25,5,7,Block,89
2,-122.3380759,47.60392419,Clear,Daylight,Dry,2017,5,21,3,12,Intersection,388
1,-122.3805032,47.66944628,Clear,Daylight,Dry,2017,4,16,4,15,Block,344
2,-122.3580157,47.62458759,Clear,Daylight,Dry,2017,5,20,4,9,Intersection,175
1,-122.3396742,47.57151424,Raining,Dark - Street Lights On,Wet,2017,4,17,4,3,Block,345
2,-122.3766365,47.52737851,Clear,Daylight,Dry,2017,5,19,6,12,Block,386
2,-122.3497912,47.65001037,Overcast,Dark - Street Lights On,Dry,2017,4,17,4,0,Block,394
1,-122.2850241,47.56705159,Raining,Daylight,Wet,2017,3,11,0,12,Block,29
1,-122.353968,47.52285981,Clear,Daylight,Dry,2017,5,22,0,14,Intersection,25
1,-122.3363012,47.52124389,Clear,Daylight,Dry,2017,6,25,6,16,Intersection,457
1,-122.33466640000002,47.57772774,Clear,Daylight,Dry,2017,3,13,4,11,Block,487
1,-122.3140953,47.73396447,Overcast,Daylight,Dry,2017,3,9,2,12,Block,88
1,-122.336484,47.61167201,Clear,Daylight,Dry,2017,3,10,0,14,Intersection,128
1,-122.3347624,47.52541537,Overcast,Daylight,Wet,2017,4,16,0,18,Block,121
1,-122.3459637,47.652745,Clear,Daylight,Dry,2017,5,20,3,11,Intersection,243
2,-122.3595518,47.53460707,Raining,Dark - Street Lights Off,Wet,2017,5,18,3,21,Block,0
1,-122.2742642,47.5460386,Clear,Daylight,Dry,2017,5,20,1,14,Block,44
1,-122.34776409999998,47.73103975,Clear,Daylight,Dry,2017,5,19,1,16,Intersection,72
2,-122.33780559999998,47.58950553,Overcast,Daylight,Dry,2017,4,17,3,7,Block,123
1,-122.3078975,47.57309061,Overcast,Dusk,Wet,2017,2,9,0,17,Intersection,429
1,-122.374974,47.55104557,Clear,Daylight,Dry,2017,4,17,2,13,Block,82
1,-122.3154177,47.732604,Overcast,Daylight,Wet,2017,4,17,2,15,Block,88
1,-122.30194009999998,47.73382926,Clear,Dark - Street Lights On,Dry,2017,6,22,6,1,Intersection,196
2,-122.3001668,47.58099444,Raining,Daylight,Wet,2017,4,14,2,10,Intersection,427
1,-122.3444887,47.63758771,Clear,Daylight,Dry,2017,5,20,4,15,Block,161
1,-122.3229813,47.65956435,Unknown,Dark - Street Lights On,Unknown,2017,3,10,0,3,Block,37
1,-122.2821353,47.55470845,Clear,Daylight,Dry,2017,4,17,2,16,Block,325
2,-122.3034061,47.66713051,Clear,Daylight,Dry,2017,5,21,1,12,Intersection,22
2,-122.3322566,47.60537425,Clear,Daylight,Dry,2017,5,19,1,6,Intersection,486
2,-122.2777117,47.70024447,Clear,Dark - Street Lights On,Dry,2017,5,20,6,0,Block,364
1,-122.3005354,47.60166397,Clear,Dark - Street Lights On,Dry,2017,4,15,3,22,Block,460
2,-122.3144645,47.65448187,Overcast,Daylight,Dry,2017,4,14,1,13,Block,358
2,-122.31779109999998,47.65794313,Clear,Daylight,Dry,2017,5,21,3,10,Block,70
1,-122.32703159999998,47.59546317,Clear,Daylight,Dry,2017,5,18,4,8,Block,46
1,-122.3155587,47.65686219,Clear,Daylight,Dry,2017,6,22,3,19,Intersection,358
1,-122.3034131,47.57192258,Raining,Dark - Street Lights On,Wet,2017,6,23,3,2,Intersection,219
1,-122.30223490000002,47.59980258,Overcast,Daylight,Wet,2017,3,11,0,8,Block,258
1,-122.3147117,47.58102139,Clear,Daylight,Dry,2017,5,20,6,9,Intersection,173
1,-122.3827975,47.59085481,Clear,Dusk,Dry,2017,4,16,2,20,Intersection,298
1,-122.3171749,47.55527232,Raining,Daylight,Wet,2017,5,18,3,16,Block,311
1,-122.3392878,47.70323018,Overcast,Daylight,Wet,2017,5,19,3,15,Intersection,471
1,-122.376218,47.66643347,Clear,Daylight,Dry,2017,4,17,3,11,Intersection,295
1,-122.2966823,47.57492481,Clear,Daylight,Dry,2017,6,25,3,17,Intersection,294
1,-122.3609245,47.64050508,Clear,Daylight,Dry,2017,3,12,3,11,Block,433
2,-122.3290808,47.69034175,Raining,Dark - Street Lights On,Wet,2017,4,17,5,20,Block,488
1,-122.2805945,47.53154253,Clear,Dawn,Dry,2017,5,18,3,4,Intersection,361
2,-122.37678970000002,47.68596821,Clear,Daylight,Dry,2017,6,23,0,15,Block,316
2,-122.3265732,47.62604316,Clear,Daylight,Dry,2017,6,22,4,16,Block,250
1,-122.3342019,47.57772754,Overcast,Daylight,Wet,2017,5,19,5,7,Intersection,487
1,-122.3554262,47.70254645,Clear,Daylight,Dry,2017,4,17,4,15,Block,257
1,-122.34506,47.73076391,Unknown,Daylight,Unknown,2017,4,16,3,17,Block,389
2,-122.3239286,47.6141002,Clear,Dark - Street Lights On,Dry,2017,5,19,4,3,Block,95
1,-122.3181502,47.61467304,Clear,Daylight,Dry,2017,4,17,4,13,Block,293
1,-122.3857634,47.54393578,Unknown,Unknown,Unknown,2017,5,22,2,8,Block,234
2,-122.3443753,47.61680223,Clear,Dusk,Dry,2017,4,15,5,19,Intersection,253
1,-122.3473251,47.65276822,Raining,Daylight,Wet,2017,3,10,1,9,Intersection,243
2,-122.375766,47.54467902,Overcast,Daylight,Wet,2017,4,17,4,8,Block,231
1,-122.3162482,47.52644473,Clear,Dark - Street Lights On,Dry,2017,4,16,4,23,Block,327
2,-122.4014996,47.58313252,Raining,Dark - Street Lights On,Wet,2017,4,14,1,20,Block,481
2,-122.3996293,47.63910735,Clear,Daylight,Dry,2017,6,23,2,14,Intersection,286
1,-122.3378735,47.61295827,Raining,Daylight,Wet,2017,5,20,1,8,Intersection,128
2,-122.2807928,47.53153737,Fog/Smog/Smoke,Unknown,Dry,2017,3,11,2,8,Intersection,361
2,-122.3155752,47.65623548,Clear,Daylight,Dry,2017,6,23,0,19,Intersection,358
1,-122.3426125,47.61106822,Raining,Daylight,Wet,2017,4,14,2,13,Intersection,8
1,-122.3819856,47.64939488,Clear,Daylight,Dry,2017,5,21,0,15,Block,104
2,-122.32213459999998,47.61108616,Clear,Dusk,Dry,2017,2,8,4,16,Block,95
1,-122.3394668,47.57170284,Raining,Dark - Street Lights On,Wet,2017,3,12,1,6,Intersection,345
1,-122.3775494,47.66867108,Clear,Daylight,Dry,2017,4,16,3,7,Block,489
1,-122.3229281,47.68507269,Clear,Daylight,Dry,2017,4,16,4,14,Intersection,4
1,-122.3328695,47.72319733,Clear,Daylight,Dry,2017,5,20,1,19,Block,335
1,-122.3419821,47.61421489,Clear,Daylight,Dry,2017,4,17,4,15,Block,8
2,-122.3833864,47.65563076,Raining,Daylight,Wet,2017,3,11,1,11,Intersection,238
1,-122.340683,47.61344689,Clear,Daylight,Dry,2017,4,16,4,17,Block,128
1,-122.3554386,47.62035192,Clear,Daylight,Dry,2017,5,20,4,8,Block,32
1,-122.3663238,47.53370528,Clear,Dark - Street Lights On,Dry,2017,4,17,4,2,Block,373
1,-122.3472071,47.69057079,Clear,Daylight,Dry,2017,4,16,5,16,Intersection,441
1,-122.3141274,47.61155241,Clear,Dark - Street Lights On,Dry,2017,5,20,6,1,Intersection,293
1,-122.345047,47.7295848,Clear,Daylight,Dry,2017,6,25,4,12,Block,72
