SEVERITYCODE,X,Y,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,-122.33425559999999,47.52935807,2019,4,17,3,7,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.32635549999999,47.60045148,2020,4,16,3,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.31964070000001,47.59708197,2019,7,27,4,16,288,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.39836799999999,47.676201,2019,4,17,6,4,81,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3573604,47.62458528,2019,7,27,6,21,270,0,1,0,0,0,1,0,0,0,0,0,1,0
1,-122.31303419999999,47.66749016,2019,7,27,2,12,374,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.31416740000002,47.6129174,2020,4,15,2,22,293,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.3342121,47.54937951,2019,5,20,1,18,63,0,0,0,0,0,0,0,0,0,0,0,1,0
1,-122.3553017,47.69021483,2019,7,27,2,13,116,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3449769,47.72321155,2020,4,17,5,8,439,0,0,1,0,0,0,0,0,0,0,0,1,1
1,-122.33865120000002,47.60733158,2019,7,27,0,16,490,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.33508359999999,47.539645799999995,2019,5,18,4,16,456,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.2908185,47.70657855,2019,7,27,3,16,74,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.26998909999999,47.53210531,2020,4,16,1,11,224,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3192088,47.70856922,2020,1,1,3,18,404,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-122.41201880000001,47.57684322,2019,7,27,5,14,144,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-122.33425559999999,47.52935807,2019,4,17,2,8,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.37564750000001,47.67780732,2019,7,27,3,18,417,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.2962223,47.57985835,2020,4,16,4,19,427,0,0,0,0,0,0,0,0,0,0,0,1,0
2,-122.2946969,47.72018507,2019,4,17,4,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.36523340000001,47.5392503,2020,4,16,3,21,373,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.30779209999999,47.68304671,2019,4,17,1,16,198,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3800919,47.56287257,2019,6,26,5,13,94,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3236412,47.6060184,2019,5,19,3,9,466,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.30111809999998,47.62667906,2019,4,17,3,13,332,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.33131370000001,47.70864592,2020,4,17,0,8,87,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.386804,47.56021698,2019,7,27,4,13,303,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.32601409999998,47.71087943,2019,7,27,6,17,139,0,1,0,0,0,0,0,0,0,0,0,0,0
1,-122.27598870000001,47.54602662,2020,4,16,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.30553940000001,47.58807595,2019,4,17,5,3,428,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.30461409999998,47.64639608,2019,4,18,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.2696111,47.51684873,2019,4,16,4,18,127,0,0,1,0,0,0,0,0,0,0,0,1,1
1,-122.3342135,47.607515,2020,4,16,4,15,52,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.27410640000001,47.66750031,2020,4,18,0,5,13,0,0,0,0,0,0,1,0,0,0,0,0,0
1,-122.31470300000001,47.58242809,2019,6,26,2,14,147,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.4001884,47.57908544,2020,4,16,3,19,481,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.32187720000002,47.60576977,2020,4,17,6,15,24,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.3695673,47.5716099,2019,5,19,2,10,138,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.34626399999999,47.62489261,2019,6,26,6,9,153,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3262281,47.72397334,2020,4,17,1,12,30,0,1,0,0,0,0,0,0,0,0,0,0,0
1,-122.3405249,47.6335923,2019,7,28,0,22,465,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.32807859999998,47.60416123,2019,5,19,2,7,142,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3290775,47.57142087,2020,4,16,0,14,216,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.32550990000001,47.61353316,2019,5,18,6,17,300,0,1,0,0,0,0,0,1,0,0,0,0,0
2,-122.3339943,47.5432018,2019,5,20,2,16,63,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.31416740000002,47.6129174,2020,4,17,2,18,293,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.34742040000002,47.61508492,2019,4,17,2,9,307,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.37208829999999,47.62943789,2020,4,17,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0
